Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
68," Draper, TF Besier, JM Santos…",Using real‐time MRI to quantify altered joint kinematics in subjects with patellofemoral pain and to evaluate the effects of a patellar brace or sleeve on joint motion,203,2009, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.20790,13
73," Wilson, JM Press, JL Koh, RW Hendrix, LQ Zhang",In vivo noninvasive evaluation of abnormal patellar tracking during squatting in patients with patellofemoral pain,195,2009, journals.lww.com, JBJS,https://journals.lww.com/jbjsjournal/fulltext/2009/03000/In_Vivo_Noninvasive_Evaluation_of_Abnormal.7.aspx,12
5," MacIntyre, NA Hill, RA Fellows, RE Ellis, DR Wilson",Patellofemoral joint kinematics in individuals with and without patellofemoral pain syndrome,221,2006, journals.lww.com, JBJS,https://journals.lww.com/jbjsjournal/fulltext/2006/12000/patellofemoral_joint_kinematics_in_individuals.6.aspx,12
47," Stephen, C Kittl, A Williams…",Effect of medial patellofemoral ligament reconstruction method on patellofemoral contact pressures and kinematics,105,2016, journals.sagepub.com, … American Journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546516631736,12
90," Barton, P Levinger, KM Crossley…",Relationships between the Foot Posture Index and foot kinematics during gait in individuals with and without patellofemoral pain syndrome,159,2011, Springer, Journal of foot and ankle …,https://link.springer.com/article/10.1186/1757-1146-4-10,11
44, Bazet,Kinematic and kinetic gait characteristics in people with patellofemoral pain: a systematic review and meta-analysis,22,2023, Springer, Sports Medicine,https://link.springer.com/article/10.1007/s40279-022-01781-1,11
52," Merican, AA Amis",Iliotibial band tension affects patellofemoral and tibiofemoral kinematics,167,2009, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929009001870,10
2," Draper, TF Besier, M Fredericson…",Differences in patellofemoral kinematics between weight‐bearing and non‐weight‐bearing conditions in patients with patellofemoral pain,145,2011, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.21253,10
71," Song, HY Huang, SC Chen, JJ Lin…","Effects of femoral rotational taping on pain, lower extremity kinematics, and muscle activation in female patients with patellofemoral pain",99,2015, Elsevier, Journal of science and …,https://www.sciencedirect.com/science/article/pii/S1440244014001352,10
23," Sherman, AC Plackis…",Patellofemoral anatomy and biomechanics,110,2014, sportsmed.theclinics.com, Clinics in sports …,https://www.sportsmed.theclinics.com/article/S0278-5919(14)00025-8/abstract,10
