Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
73,"Zhou, P Zhao",Enhanced total generalized variation method based on moreau envelope,7,2021, Springer, Multimedia Tools and Applications,https://link.springer.com/article/10.1007/s11042-021-10586-9,2
94,"Zhu, K Li, B Hao",Image restoration by second-order total generalized variation and wavelet frame regularization,7,2019, hindawi.com, Complexity,https://www.hindawi.com/journals/complexity/2019/3650128/abs/,1
46,"Smitha, IP Febin, P Jidesh",A retinex based non-local total generalized variation framework for OCT image restoration,7,2022, Elsevier, Biomedical Signal Processing and Control,https://www.sciencedirect.com/science/article/pii/S1746809421008314,2
96,Miyata,L infinity total generalized variation for color image recovery,7,2013, ieeexplore.ieee.org, 2013 IEEE International Conference on Image …,https://ieeexplore.ieee.org/abstract/document/6738093/,1
27,"Li, X Liu",Anisotropic total generalized variation model for Poisson noise removal,6,2023, Springer, Multimedia Tools and Applications,https://link.springer.com/article/10.1007/s11042-023-14359-4,3
97," Niu, H Wu, ZF Yu, ZJ Zheng…",Total generalized variation minimization based on projection data for low? Dose CT reconstruction,6,2017, europepmc.org, Nan Fang yi ke da xue xue …,https://europepmc.org/article/med/29292249,1
91,"Zhao, Y Dai, P Zhuang",Underwater image enhancement with a total generalized variation illumination prior,5,2019, ieeexplore.ieee.org, 2019 IEEE Intl Conf on Parallel & …,https://ieeexplore.ieee.org/abstract/document/9047325/,1
93,"Khademi, H Ghassemian",Second-order total generalized variation regularization for pansharpening,5,2020, ieeexplore.ieee.org, IEEE Geoscience and Remote …,https://ieeexplore.ieee.org/abstract/document/9305948/,1
99,Liu,Nonconvex total generalized variation model for image inpainting,4,2021, content.iospress.com, Informatica,https://content.iospress.com/articles/informatica/infor438,1
48,"Baumgärtner, R Bergmann, R Herzog…",Total generalized variation for piecewise constant functions on triangular meshes with applications in imaging,4,2023, SIAM, SIAM Journal on Imaging …,https://epubs.siam.org/doi/abs/10.1137/22M1505281,2
83," Hong, YS Ho",Depth upsampling method using total generalized variation,3,2016, koreascience.kr, Journal of Broadcast Engineering,https://koreascience.kr/article/JAKO201605337859650.page,0
39,"Bogensperger, A Chambolle, A Effland…",Learned Discretization Schemes for the Second-Order Total Generalized Variation,1,2023, Springer, … Conference on Scale …,https://link.springer.com/chapter/10.1007/978-3-031-31975-4_37,0
60, Shama,Multiplicative noise removal using complementary total generalized variation and nonlocal low rank regularization,1,2023, Elsevier, Optik,https://www.sciencedirect.com/science/article/pii/S0030402623008719,0
86,"Li, K Wang, X Xue, F Li",Sparse-View Spectral CT Reconstruction Based on Tensor Decomposition and Total Generalized Variation,0,2024, mdpi.com, Electronics,https://www.mdpi.com/2079-9292/13/10/1868,0
70,"Huemer, C Stilianu, O Maier…",Improved quantification in CEST‐MRI by joint spatial total generalized variation,0,2024, Wiley Online Library, Magnetic …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.30129,0
85,"Niu, M Zhang, Y Qiu, S Li, L Liang…",Evaluation of low-dose computed tomography reconstruction using spatial-radon domain total generalized variation regularization,0,2024, iopscience.iop.org, Physics in Medicine …,https://iopscience.iop.org/article/10.1088/1361-6560/ad3c0b/meta,0
