Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
46," Sherman, ME Copeland, JL Milles, DA Flood…",Biomechanical evaluation of suture anchor versus transosseous tunnel quadriceps tendon repair techniques,56,2016, Elsevier, … : The Journal of …,https://www.sciencedirect.com/science/article/pii/S0749806315009731,6
50,"Hashemi, R Breighner, TH Jang, N Chandrashekar…",Increasing pre-activation of the quadriceps muscle protects the anterior cruciate ligament during the landing phase of a jump: an in vitro simulation,92,2010, Elsevier, The knee,https://www.sciencedirect.com/science/article/pii/S096801600900177X,6
8," Hunt, RS Hinman, BR Metcalf, BW Lim, TV Wrigley…",Quadriceps strength is not related to gait impact loading in knee osteoarthritis,88,2010, Elsevier, The Knee,https://www.sciencedirect.com/science/article/pii/S096801601000044X,6
74,"Spang, J Egan, P Hanna, A Lechtig…",Comparison of patellofemoral kinematics and stability after medial patellofemoral ligament and medial quadriceps tendon–femoral ligament reconstruction,28,2020, journals.sagepub.com, … American Journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546520930703,6
62," D'Lima, C Poole, H Chadha…",Quadriceps moment arm and quadriceps forces after total knee arthroplasty,149,2001, journals.lww.com, Clinical Orthopaedics …,https://journals.lww.com/clinorthop/fulltext/2001/11000/Quadriceps_Moment_Arm_and_Quadriceps_Forces_After.26.aspx,6
16," Lenhart, CR Smith, MF Vignos, J Kaiser…",Influence of step rate and quadriceps load distribution on patellofemoral cartilage contact pressures during running,58,2015, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S0021929015002560,6
2," Zhang, G Wang, GW Nuber…",In vivo load sharing among the quadriceps components,126,2003, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1016/S0736-0266(02)00196-1,6
75," Bordessa, MC Hearn, AE Reinfeldt, TA Smith…",Comparison of blood flow restriction devices and their effect on quadriceps muscle activation,20,2021, Elsevier, Physical Therapy in …,https://www.sciencedirect.com/science/article/pii/S1466853X2100033X,5
83," Murray, AC Thomas, CW Armstrong…","The associations between quadriceps muscle strength, power, and knee joint mechanics in knee osteoarthritis: a cross-sectional study",49,2015, Elsevier, Clinical …,https://www.sciencedirect.com/science/article/pii/S0268003315002247,5
78," Lighthart, DA Cohen, RG Levine…",Suture anchor versus suture through tunnel fixation for quadriceps tendon rupture: a biomechanical study,82,2008, search.proquest.com, Orthopedics …,https://search.proquest.com/openview/e3efd092e7fe0a2bac44ec0b17808a32/1?pq-origsite=gscholar&cbl=40235,5
34,"Pietsch, T Pizzari",Risk factors for quadriceps muscle strain injuries in sport: a systematic review,15,2022, jospt.org, journal of orthopaedic & sports physical therapy,https://www.jospt.org/doi/abs/10.2519/jospt.2022.10870,5
7,"Wünschel, U Leichtle, C Obloh, N Wülker…",The effect of different quadriceps loading patterns on tibiofemoral joint kinematics and patellofemoral contact pressure during simulated partial weight-bearing …,76,2011, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-010-1359-y,5
44,"Herbort, C Hoser, C Domnick, MJ Raschke…",MPFL reconstruction using a quadriceps tendon graft: part 1: biomechanical properties of quadriceps tendon MPFL reconstruction in comparison to the Intact …,58,2014, Elsevier, The Knee,https://www.sciencedirect.com/science/article/pii/S0968016014001719,5
39," Alnahdi, JA Zeni, L Snyde",Quadriceps strength asymmetry predicts loading asymmetry during sit-to-stand task in patients with unilateral total knee arthroplasty,49,2016, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-015-3827-x,5
30,"Farahmand, MN Tahmasbi, A Amis",The contribution of the medial retinaculum and quadriceps muscles to patellar lateral stability—an in-vitro study,115,2004, Elsevier, The knee,https://www.sciencedirect.com/science/article/pii/S0968016003001674,5
33," Goudakos, C König, PB Schöttle, WR Taylor…",… results in more challenging patellofemoral contact mechanics and kinematics than walking at early knee flexion under physiological-like quadriceps loading,56,2009, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S0021929009003881,4
21," Garrison, J Hannon, S Goto…",Knee loading after ACL-R is related to quadriceps strength and knee extension differences across the continuum of care,26,2019, journals.sagepub.com, … Journal of Sports …,https://journals.sagepub.com/doi/abs/10.1177/2325967119870155,4
24,"Basso, AA Amis, A Race…",Patellar tendon fiber strains: their differential responses to quadriceps tension.,85,2002, journals.lww.com, Clinical Orthopaedics and …,https://journals.lww.com/corr/fulltext/2002/07000/patellar_tendon_fiber_strains__their_differential.30.aspx,4
67,"Stephen, A Alva, P Lumpaopong, A Williams…",A cadaveric model to evaluate the effect of unloading the medial quadriceps on patellar tracking and patellofemoral joint pressure and stability,28,2018, Springer, Journal of experimental …,https://link.springer.com/article/10.1186/s40634-018-0150-8,4
53,"Sprague, S Epsley, KG Silbernagel",Distinguishing quadriceps tendinopathy and patellar tendinopathy: semantics or significant?,26,2019, jospt.org, journal of orthopaedic & sports …,https://www.jospt.org/doi/abs/10.2519/jospt.2019.0611,4
65," Bennett, JT Blackburn, MC Boling, M McGrath…",The relationship between anterior tibial shear force during a jump landing task and quadriceps and hamstring strength,68,2008, Elsevier, Clinical …,https://www.sciencedirect.com/science/article/pii/S0268003308001988,4
12," Matheson, TW Kernozek, DCW Fater…",Electromyographic activity and applied load during seated quadriceps exercises,106,2001, paulogentil.com, Medicine & Science in …,https://paulogentil.com/pdf/Electromyographic%20activity%20and%20applied%20load%20during%20seated%20quadriceps%20exercises.pdf,4
61," Elias, DR Bratton, DM Weinstein…",Comparing two estimations of the quadriceps force distribution for use during patellofemoral simulation,85,2006, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929005000783,4
38,"Mesfar, A Shiraz",Knee joint mechanics under quadriceps–hamstrings muscle forces are influenced by tibial restraint,77,2006, Elsevier, Clinical Biomechanics,https://www.sciencedirect.com/science/article/pii/S0268003306000854,4
88,"Ostermeier, C Stukenbor",Quadriceps force after TKA with femoral single radius: an in vitro study,54,2011, Taylor & Francis, Acta orthopaedica,https://www.tandfonline.com/doi/abs/10.3109/17453674.2011.574564,4
80," Berger, CA McKenzie, DG Chess…",Quadriceps neuromuscular function and self-reported functional ability in knee osteoarthritis,53,2012, journals.physiology.org, Journal of applied …,https://journals.physiology.org/doi/abs/10.1152/japplphysiol.00947.2011,4
47," Wall, DM Rose, EG Sutter…",The role of axial compressive and quadriceps forces in noncontact anterior cruciate ligament injury: a cadaveric study,52,2012, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546511430204,4
17," Chena, AL Kurth, M Thomas, J Mayhew",Torque characteristics of the quadriceps and hamstring muscles during concentric and eccentric loading,133,1991, jospt.org, Journal of Orthopaedic & …,https://www.jospt.org/doi/abs/10.2519/jospt.1991.14.4.149,4
9,"Lorenz, O Müller, P Kohler, M Wünschel, N Wülker…",The influence of asymmetric quadriceps loading on patellar tracking—an in vitro study,41,2012, Elsevier, The Knee,https://www.sciencedirect.com/science/article/pii/S0968016012000853,3
11,"Shalhoub, LP Maletsky",Variation in patellofemoral kinematics due to changes in quadriceps loading configuration during in vitro testing,28,2014, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929013004429,3
40,"Wretenberg, Y Feng, F Lindberg…",Joint moments of force and quadriceps muscle activity during squatting exercise,91,1993, Wiley Online Library, … journal of medicine & …,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1600-0838.1993.tb00389.x,3
